CANOIL PRODUCT AND CUSTOMER LIST
Generated: 2025-12-01 18:43:01

================================================================================
PRODUCTS WITH PACKAGING SIZES
================================================================================

Item No.,Description,Packaging Size,Stocking Units,Purchasing Units,Unit Weight,Status,Item Type,Stock,Recent Cost,Standard Cost
CC 2T SS2CB 12X1L LBL-F,CC 2T SS2CB 12X1L LBL - 1077250,N/A,EA,EA,0,Active,Raw Material,"6,897.000000",$0.067600,$0.000000
CC 2T SS2CR 12X1L LBL-F,CC 2T SS2CR 12X1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,947.000000",$0.065980,$0.000000
CC 2T SSB 12X946ML LBL-B, CC 2T Semi-Syn Blue 12x946ml LBL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.134120,$0.000000
CC 2T SSB 12X946ML LBL-F,CC 2T Semi-Syn Blue 12x946ml LBL,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.134120,$0.000000
CC 2T SSB 24X6.4OZ LBL-B,PT# AL2T237B CC 2T Semi-Syn Blue 24x6.4 oz LBL-Back,N/A,EA,EA,0,Active,Raw Material,268.000000,$0.103270,$0.000000
CC 2T SSB 24X6.4OZ LBL-F,PT# 1064237 CC 2T Semi-Syn Blue 24x6.4 oz LBL-Front,N/A,EA,EA,0,Active,Raw Material,261.000000,$0.103270,$0.000000
CC 2T SSB 48X100ML LBL-B,CC 2T SSB 48x100ml LBL,N/A,EA,EA,0,Active,Raw Material,"3,942.000000",$0.012900,$0.000000
CC 2T SSB 48X100ML LBL-F,CC 2T SSB 48X100ml LBL,N/A,EA,EA,0,Active,Raw Material,"5,291.000000",$0.012900,$0.000000
CC 2T SSB 6X946ML BOX LB,,N/A,,,0,Active,Raw Material,0.000000,$0.000000,$0.000000
CC 2T SSR 48X100ML LBL-F,CC 2T SSR 48X100ML LBL,N/A,EA,EA,0,Active,Raw Material,"3,410.000000",$0.016850,$0.000000
CC 2T SYNTHETIC FORMULA,CC 2T SYNTHETIC FORMULA 1-Liter,LITERS,Liters,Liters,0,Active,Assembled,0.000000,$1.550047,$0.000000
CC 45X45 4WAY HT PALLET,CC 45X45 4WAY HT PALLET - HEAVY DUTY,N/A,EA,EA,1,Active,Raw Material,0.000000,$0.000000,$0.000000
CC 48X100ML CARTON,48x100ml CENTER NECK CARTON,N/A,EA,EA,0,Active,Raw Material,519.000000,$1.230440,$0.000000
CC 48X40 4AWAY HT PALLET,4840-4AAHT- 48x40 4way Used AA-Grade HT Pallet,N/A,EA,EA,0,Active,Raw Material,1.000000,$20.950000,$0.000000
CC 48X40 4WAY HT PALLET,CC 48X40 4WAY HT PALLET,1,EA,1,0,Active,Raw Material,18.000000,$20.450000,$0.000000
CC 48X42 4WAY HT PALLET,4842-4HT- CC 48x42 4way Heat Treat Pallet,N/A,EA,EA,1,Active,Raw Material,37.000000,$19.460000,$0.000000
CC 4L BLACK JUG,Silgan / CD 4L F-Style Oblong Jugs,N/A,EA,EA,0,Active,Raw Material,"1,060.000000",$1.010000,$0.000000
CC 4X4L CARTON,4X4L JUGS Carton,N/A,EA,EA,0,Active,Raw Material,802.000000,$1.419080,$0.000000
CC 5L DELTA BLACK BOTTLE,ALT- 5L 45-400 HDP,N/A,EA,EA,0,Active,Raw Material,0.000000,$1.431000,$0.000000
CC 5W-20 PCMO OIL BULK,5W-20 PCMO SYN OIL BULK,"LITRE, BULK",LITRE,BULK,0,Active,Raw Material,0.000000,$2.290000,$2.290000
CC 5W-30 PCMO OIL BULK,5W-30 PCMO SYN OIL BULK,"LITRE, BULK",LITRE,BULK,0,Active,Raw Material,0.000000,$2.290000,$2.290000
CC 5W40 HDEO CK-4 JUG1L,5W40 HDEO SYN OIL JUG-1 L,JUG 1L,JUG 1L,JUG 1L,0,Active,Assembled,0.000000,$4.250000,$4.250000
CC 5W40 HDEO CK-4 JUG5L,CC 5W40 HDEO CK-4 SYN OIL 3x5 L JUG Case,Case,Case,Case,0,Active,Assembled,0.000000,$75.387320,$21.250000
CC 5W40 HDEO CK-4 PAIL,CC 5W40 HDEO CK-4 SYNTHETIC OIL PAIL 18.9 L,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$86.035000,$86.035000
CC 600ML BLACK BOTTLE,HDPE Offset Neck Oblong Black Bottles,N/A,EA,EA,0,Active,Raw Material,"9,093.000000",$0.542100,$0.000000
CC 75W-90 TRAXON SYN,Batch # 247789,LITRE,Litre,Litre,0,Active,Raw Material,0.000000,$8.380000,$0.000000
CC 75W-90 TRAXON SYN BLK,CC 75W-90 SYN-BULK,"LITRE, BULK",LITRE,BULK,0,Active,Raw Material,0.000000,$7.480000,$6.130000
CC 75W90 FS GEAR 12X1L C,75W90 Full Syn GL12x1L Case,Case,Case,Case,0,Active,Assembled,0.000000,$101.845249,$0.000000
CC 75W90 FS GEAR 4X4L CS,75W90 Full Syn GL 4x4L Case,Case,Case,Case,0,Active,Assembled,0.000000,$126.404267,$0.000000
CC 80W90 GEAR GL-5 PAIL,CC 80W90 GEAR OIL GL-5 PAIL 18.9 L,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$55.417000,$55.417000
CC 80W90 MIN GEAR 12X1L,CC 80W90 M GL-5 12x1L Case,Case,Case,Case,0,Active,Assembled,0.000000,$0.000000,$0.000000
CC 80W90 MIN GEAR 4X4L C,CC 80W90 M GL-5 4x4L Case,Case,Case,Case,0,Active,Assembled,0.000000,$0.000000,$0.000000
CC 8X1.5L CARTON,8x1.5L Carton,N/A,EA,EA,0,Active,Raw Material,501.000000,$1.752525,$0.000000
CC AO-052 DRM,CC AO-052 Drum- 180 kg,"180kg, Drum",DRUM,DRUM,0,Active,Assembled,0.000000,"$1,883.250000","$1,883.250000"
CC ASREDSS 1.5- 17KG PAI,CC All Season Semi Synthetic RED EP 1.5- 17kg PAIL,"17kg, Pail",PAIL,PAIL,0,Active,Assembled,0.000000,$98.686600,$0.000000
CC ASREDSS1.5 CASE 100,CC ASREDSS1.5 CASE 12x100g,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$21.223694,$0.000000
CC ASREDSS1.5 MB30,CANOIL ALL SEASON RED SEMI SYNTHETIC 3×10×380g,CASE30,CASE30,CASE30,0,Active,Assembled,0.000000,$118.670071,$64.266280
CC AW-32 DRUM,CC AW-32 HYDRAULIC/TURBINE OIL -205 L DRUM,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,$257.474100,$257.474100
CC AW-32 PAIL,CC AW-32 Hydraulic Oil - 18.9 L pail,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$10.540000,$0.000000
CC AW-32 TOTE,CC AW-32 HYDRAULIC/TURBINE OIL -1040 L TOTE,TOTE,TOTE,TOTE,0,Active,Assembled,0.000000,"$1,230.940800","$1,230.940800"
CC B&C MINERAL FRMULA-1L,CC BAR & CHAIN MINERAL FRMULA-1L,LITER,Liter,Liter,0,Active,Assembled,267.470000,$1.450764,$0.000000
CC BIODEGRADABLE UNDERC,CC BIODEGRADABLE UNDERCOATING - 1 Kg FRMULA,"1kg, KG",KG,KG,0,Active,Assembled,0.000000,$0.000000,$0.000000
CC BIOWERX 12X350G CASE,CC BIOWERX 12X400g Spray Can Case,Case,Case,Case,0,Active,Assembled,0.000000,$1.736870,$0.000000
CC BLACK CAP 28-400,Black Cap FS M-1 for HDPE,N/A,EA,EA,0,Active,Raw Material,"7,291.000000",$0.074087,$0.000000
CC BLACK CAP 28-410 2C,Cap with M-1 Heat Seal HDPE,N/A,EA,EA,0,Active,Raw Material,"11,176.000000",$0.074782,$0.000000
CC BLACK CAP 38-400,BlacK with M-1 Heat Seal HDPE,N/A,EA,EA,0,Active,Raw Material,"2,886.000000",$0.063625,$0.000000
CC BLACK GREASE DRM,CC BLACK GREASE DRM- 180 kg,"180kg, DRUM",DRUM,DRUM,0,Active,Assembled,0.000000,"$1,306.008281",$0.000000
CC BLACK GREASE KEG,CC BLACK GREASE KEG- 55 kg,"55kg, Keg",KEG,KEG,0,Active,Assembled,0.000000,$436.792673,$0.000000
CC BLACK GREASE PAIL,CC BLACK GREASE PAIL- 17 kg,"17kg, Pail",Pail,Pail,0,Active,Assembled,0.000000,$137.732560,$0.000000
CC BLACK TUBE 100,CC BLACK TUBE,Tube,EA,EA,0,Active,Raw Material,"3,298.000000",$0.755000,$0.000000
CC BLK GREASE FRMULA-KG,CC 2 BLACK GREASE RP FRMULA-1 KG,"1kg, KG",KG,KG,0,Active,Assembled,0.000000,$7.255602,$0.000000
CC BLUE EP0 FRMULA-1KG,CC BLUE LITHIUM EP-0 formulation (1 kg),"1kg, KG",KG,KG,0,Active,Assembled,"2,046.000000",$3.380590,$3.244350
CC CALCIUM STEARATE PAIL,Canoil Calcium Stearate Grease PAIL-35 lbs,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$69.254600,$0.000000
CC CANSOL-2 DRUM,Cansol 2 (Van-Sol 715 Tech Liq - 155 kg / 205 L black drum),"155kg, Drum",DRUM,DRUM,0,Active,Assembled,0.000000,$465.000000,$0.000000
CC CAP 15.6OZ BLACK,Lid w/Induction Seal,N/A,EA,EA,0,Active,Raw Material,"2,955.000000",$0.282450,$0.000000
CC CTN 24X3.4OZ CARTON,Atlantic- 24x3.4oz Laser Carton 11 5/8 x 6 3/4 x 4 1/4,N/A,EA,EA,0,Active,Raw Material,43.000000,$0.922600,$0.000000
CC CTN 24X6.8OZ CARTON,Atlantic- 24x6.8oz Laser Carton 14 5/8 x 8 1/8 x 5 1/8,N/A,EA,EA,0,Active,Raw Material,"1,295.000000",$1.232871,$0.000000
CC DIESEL TREAT 12X1LJUG,CC DIESEL TREAT 12x1 L JUG CASE,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$87.129504,$78.798240
CC DIESEL TREAT DRM-205L,CC DIESEL TREAT DRUM-205 L,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,"$1,241.337795","$1,240.910350"
CC DIESELTREAT FRMULA-1L,CC DIESEL TREAT formulation (1 L),"LITRE, BULK",LITRE,BULK,0,Active,Assembled,489.000000,$5.747467,$5.745270
CC DRY BIKE FRMULA-1L,CC DRY BICYCLE formulation (1 L),LITER,LITER,LITER,0,Active,Assembled,32.500000,$3.687996,$0.000000
CC DRY LUBE CASE 120,CC DRY LUBE CASE 12x120 ml,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$6.065694,$0.000000
CC DRY LUBE CASE 1L,CC DRY LUBE CASE 12×1L,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$44.255946,$0.000000
CC DURA 600-B PAIL,Duratherm 600/630/FG - 5 US gal pail,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$49.851054,$30.164050
CC DURA HTO-B- 5GAL,CC Duratherm HTO-B - 5 US gal Pail,Pail,Pail,Pail,0,Active,Assembled,0.000000,$49.727600,$0.000000
CC DURA HTO-B-55GAL,CC DURATHERM HTO-B - 55 US gal Drum,Drum,EA,EA,0,Active,Assembled,0.000000,$400.090000,$0.000000
CC DURACLEAN BIO-100 DRM,CC DURACLEAN BIO-100 55gal STEEL DRUM,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,$644.490000,$644.490000
CC DURACLEAN- PAIL,CC DuraClean- 5 US gal PAIL,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$41.230290,$42.911610
CC DURATHERM HTO- BULK,CC DURATHERM HTO- BULK,GALLON,Gallon,Gallon,0,Active,Assembled,0.000000,$5.737711,$0.000000
CC DURATHERM HTO-B - 275,CC DURATHERM HTO-B - 275 gal Tote,TOTE,TOTE,TOTE,0,Active,Assembled,0.000000,"$1,859.680000","$1,129.000000"
CC DURATHERM HTO-B 330,CC DURATHERM HTO-B- 330 gal TOTE,TOTE,TOTE,TOTE,0,Active,Assembled,0.000000,"$2,371.842000","$2,371.842000"
CC DURATHERM HTO-B BULK,DURATHERM HTO-B BULK,GALLON,Gallon,Gallon,0,Active,Assembled,0.000000,$7.797900,$0.000000
CC E-BIKE FRMULA-1L,CC E-BIKE formulation (1 L),LITER,LITER,LITER,0,Active,Assembled,0.000000,$4.272749,$0.000000
CC E-BIKE LUBE CASE 120,CC E-BIKE LUBE CASE 12x120 ml,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$6.913586,$0.000000
CC ECO SAFE UC BLCK DRM,CC ECOLOGY SAFE UNDERCOAT BLACK DRUM-208 L,Drum,DRUM,DRUM,0,Active,Assembled,1.000000,"$1,315.358304",$0.000000
CC ECO SAFE UC BLCK-1L,CC ECOLOGY SAFE UNDERCOAT BLACK FRMULA-1L,LITER,Liter,Liter,0,Active,Assembled,0.000000,$6.323838,$0.000000
CC ECO SAFE UC CLEAR DRM,CC ECOLOGY SAFE UNDERCOAT CLEAR DRUM-208L,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,"$1,267.790315",$0.000000
CC ECO SAFE UC CLEAR-1L,CC ECOLOGY SAFE UNDERCOAT CLEAR FRMULA-1L,LITER,LITER,LITER,0,Active,Assembled,0.000000,$6.095146,$0.000000
CC ECOSAFE UC CLEAR PAIL,CC ECOLOGY SAFE UNDERCOAT CLEAR PAIL- 18.9L,Pail,Pail,Pail,0,Active,Assembled,0.000000,$0.000000,$0.000000
CC EMBPLC MB CASE,Canoil EMB Plus Lithium Complex - 3×10×400 g tube case,"Case, Tube, CASE30",CASE30,CASE30,0,Active,Assembled,14.000000,$77.031734,$77.138130
CC EP-0 12X120 CARTON,EP-0 Lith Blue 12x120g Carton,N/A,EA,EA,0,Active,Raw Material,134.000000,$1.086620,$0.000000
CC EP-0 LITH 12X120G CS,EP-0 Lithium Complex Blue 12x120g Case,Case,Case,Case,0,Active,Assembled,0.000000,$8.429962,$0.000000
CC GDF-BIKE CARTON,GDF-BIKE CARTON,N/A,EA,EA,0,Active,Raw Material,779.000000,$0.703000,$0.000000
CC HDEP2 P18,Canoil Heavy Duty EP2 - 18 kg pail (G-2193-2),"18kg, Pail",PAIL,PAIL,0,Active,Assembled,0.000000,$96.890000,$96.890000
CC HYDRA MAXX FRMULA-1L,CC HYDRA MAXX formulation,LITRE,LITRE,LITRE,0,Active,Assembled,"1,488.000000",$6.203076,$0.000000
CC HYDRAMAXX DRUM,CC HydraMaxx 55 gal DRUM,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,"$1,290.239822",$0.000000
CC HYDRAMAXX PAIL,CC HydraMaxx 5 gal PAIL,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$124.002854,$0.000000
CC LABELS,Canoil labels,N/A,EA,EA,0,Active,Raw Material,0.000000,"$2,596.900000",$0.000000
CC LBL 5W40 5L CAN-5050,CC LBL 5W40 5L CAN-5050,N/A,EA,EA,0,Active,Raw Material,450.000000,$0.672000,$0.000000
CC LBL DIESEL TREAT-B,CC LBL DIESEL TREAT CAN-5030- BACK 1L,N/A,EA,EA,0,Active,Raw Material,119.000000,$0.360100,$0.000000
CC LBL DIESEL TREAT-F,CC LBL DIESEL TREAT CAN-5030- FRONT 1L,N/A,EA,EA,0,Active,Raw Material,112.000000,$0.360100,$0.000000
CC LOW TEMP EO-0 KEG,Canoil Low Temp EP0 - 55 kg keg (G-2032-0),"55kg, Keg",KEG,KEG,0,Active,Assembled,0.000000,$449.710000,$0.000000
CC LOW TEMP EP-0 DRUM,Canoil Low Temp EP0 - 180 kg drum (G-2032-0),"180kg, Drum",DRUM,DRUM,0,Active,Assembled,0.000000,"$1,261.800000",$0.000000
CC LOW TEMP EP-0 TOTE,Canoil Low Temp EP0 - 1000 kg tote (G-2032-0),"1000kg, KG",KG,KG,0,Active,Assembled,0.000000,$5.665648,$0.000000
CC LOW TEMP EP-1 DRUM,Canoil Low Temp EP1 - 180 kg drum (G-2032-1) (SKU 3100610),"180kg, Drum",DRUM,DRUM,0,Active,Assembled,0.000000,"$1,190.781522",$0.000000
CC LOW TEMP EP1 P17,Canoil Low Temp EP1 - 17 kg pail (G-2032-1),"17kg, Pail",PAIL,PAIL,0,Active,Assembled,0.000000,$127.420000,$98.410000
CC MV SYN ATF 12X1L CASE,CC MV SYNTHETIC ATF 12x1 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$52.335000,$52.335000
CC MV SYN ATF-BULK,CC MULTI VEHICLE SYNTHETIC ATF-BULK,"LITRE, BULK",LITRE,BULK,0,Active,Raw Material,0.000000,$3.540000,$3.540000
CC NNL-690 CASE,CC NNL-690 1 gal CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$83.466298,$0.000000
CC NNL-690 DRUM,CC NNL-690 55 gal DRUM,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,"$1,266.825925",$0.000000
CC NNL-690 FRMULA-1L,CC NNL-690 formulation (1 L),LITER,LITER,LITER,0,Active,Assembled,94.000000,$6.340130,$0.000000
CC NNL-690 PAIL,CC NNL-690 5 gal PAIL,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$127.528450,$0.000000
CC NNL-690G DRUM,CC NNL-690G 55 gal DRUM,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,"$1,014.486928",$0.000000
CC NNL-690G FRMULA-1L,CC NNL-690G formulation (1 L),LITER,LITER,LITER,0,Active,Assembled,44.526563,$4.877341,$0.000000
CC NNL-690G PAIL,CC NNL-690G 5 gal PAIL,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$96.431128,$0.000000
CC PCMO 0W-20 205L DRM,CC PCMO 0W-20 Synthetic Oil 205L Drum,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,$542.650000,$0.000000
CC PCMO 0W-20 OIL 12X1L,CC PCMO 0W-20 Synthetic Oil 12x1 L JUG CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$39.135000,$39.135000
CC PCMO 5W-20 3X5L JUG,CC PCMO 5W-20 Synthetic Oil 3x5 L JUG CASE,"Case, CASE3",CASE3,CASE3,0,Active,Assembled,0.000000,$39.231320,$39.231320
CC PCMO 5W-20 OIL 12X1L,CC PCMO 5W-20 Synthetic Oil 12x1 L JUG CASE,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$37.335000,$37.335000
CC PCMO 5W-30 12X1L JUG,CC PCMO 5W-30 Synthetic Oil 12x1 L JUG CASE,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$37.335000,$37.335000
CC PCMO 5W-30 205L DRM,CC PCMO 5W-30 Synthetic Oil 205L DRUM,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,$511.900000,$0.000000
CC PCMO 5W-30 3X5L JUG,CC PCMO 5W-30 Synthetic Oil 3x5 L JUG CASE,"Case, CASE3",CASE3,CASE3,0,Active,Assembled,0.000000,$39.231320,$39.231320
CC PSTF 12X1L CASE,CC PS Trim Fluid 12x1L Case,Case,Case,Case,0,Active,Assembled,0.000000,$0.000000,$0.000000
CC RED CAP 28-400,Red 28-400 Caps with a Foil seal liner,N/A,EA,EA,0,Active,Raw Material,"10,376.000000",$0.080000,$0.000000
CC RED CAP 28-400 -FOAM,CC RED CAP 28-400 - with Foam Liner,N/A,Each,Each,1,Active,Raw Material,"1,700.000000",$0.152900,$0.000000
CC ROCK DRILL 100 FRMULA,CC ROCK DRILL 100 formulation (1 L),LITER,LITER,LITER,0,Active,Assembled,0.000000,$2.613839,$0.000000
CC ROCK DRILL 100 PAIL,CC ROCK DRILL 100 PAIL 18.9 L,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$54.301557,$0.000000
CC ROCK DRILL 150 FRMULA,CC ROCK DRILL 150 formulation (1 L),LITER,LITER,LITER,0,Active,Assembled,0.000000,$3.003291,$0.000000
CC ROCK DRILL 150 PAIL,CC ROCK DRILL 150 PAIL 18.9 L,Pail,PAIL,PAIL,0,Active,Assembled,3.000000,$62.460110,$0.000000
CC SAE30 4T 12X1L CASE,CC SAE30 4T 12x1L CASE,Case,Case,Case,0,Active,Assembled,0.000000,$34.192915,$0.000000
CC SAE30 4T 12X1L LBL-B,CC SAE30 4T 12X1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,307.000000",$0.072260,$0.000000
CC SAE30 4T 12X1L LBL-F,SAE30 4T 12X1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,331.000000",$0.072260,$0.000000
CC SAE30 4T 12X600 CS EM,CC SAE30 4T 12x600ml Case,Case,Case,Case,0,Active,Assembled,0.000000,$20.370600,$0.000000
CC SAE30 4T 12X600 LBL-B,CC ALCO SAE30 4T 12x600ml back LBL - AL4T126B ,N/A,EA,EA,0,Active,Raw Material,397.000000,$0.128500,$0.000000
CC SAE30 4T 12X600 LBL-F, CC ALCO SAE30 4T 12x600ml Front LBL- PT#1072126,N/A,EA,EA,0,Active,Raw Material,865.000000,$0.128500,$0.000000
CC SAE30 4T 20L PAIL,CC SAE30 4T 20L PAIL,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$55.070792,$0.000000
CC SAE30 4T 20L PAIL LBL,CC SAE30 4T 20L PAIL LBL,Pail,EA,EA,0,Active,Raw Material,203.000000,$1.440000,$0.000000
CC SAE30 4T FRMULA-1L,CC SAE30 4T Detergent FRMULA-1L,LITER,Liter,Liter,0,Active,Assembled,246.030000,$1.554333,$0.000000
CC SAE30 4T12X600 CASE,CC SAE30 4T 12X600ml CASE,Case,Case,Case,0,Active,Assembled,0.000000,$23.014049,$0.000000
CC SALT BRINE ELIMINATOR,CC SALT BRINE ELIMINATOR- gal,GALLON,Gallon,Gallon,0,Active,Assembled,0.000000,$10.251502,$0.000000
CC SF UNDERCOAT,Canoil Solvent Free Undercoating,LITRES,LITRES,LITRES,0,Active,Assembled,0.000000,$0.000000,$0.000000
CC SL B&C 12X1L CS EM,CC SL Bar & Chain 12x1L Case,Case,Case,Case,0,Active,Assembled,0.000000,$29.953972,$0.000000
CC SL B&C 12X1L LBL-B,CC SL B&C 12X1L Back LBL - ALBC111B,N/A,EA,EA,0,Active,Raw Material,"1,072.000000",$0.066000,$0.000000
CC SL B&C 12X1L LBL-F,CC SL B&C 12X1L Front LBL - 1072111,N/A,EA,EA,0,Active,Raw Material,"1,283.000000",$0.066000,$0.000000
CC SL B&C 4X4L LBL-B,CC SL Bar & Chain 4X4L Back LBL - ALBC136B,N/A,EA,EA,0,Active,Raw Material,"1,915.000000",$0.125000,$0.000000
CC SL B&C 4X4L LBL-F,CC SL Bar & Chain 4X4L Front LBL - 1072136,N/A,EA,EA,0,Active,Raw Material,"1,848.000000",$0.125000,$0.000000
CC SL BAR & CHAIN 12X1LC,CC SL BAR & CHAIN Oil 12x1L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$27.812776,$0.000000
CC SL BAR & CHAIN 4X4L C,CC SL BAR & CHAIN Oil 4X4L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$30.215963,$0.000000
CC SYN GEAR 68 FRMULA-1L,CC Synthetic Gear 68 Formula-1L,N/A,EA,EA,0,Active,Assembled,0.000000,$3.591977,$0.000000
CC SYTHETIC GEAR 68 PAIL,Canoil Syn Gear 68 Pail -18.9L,Pail,Pail,Pail,0,Active,Assembled,0.000000,$75.398369,$0.000000
CC TCW-3 2T SS 12X1L CAS,CC TCW 2 Stroke Semi-Syn 12x1L Case,Case,Case,Case,0,Active,Assembled,0.000000,$0.000000,$0.000000
CC TCW-3 2T SS 4X4L CASE,CC TCW 2 STROKE Semi-Syn 4x4L Case,Case,Case,Case,0,Active,Assembled,0.000000,$0.000000,$0.000000
CC TRAXON 75W-90 CASE,CC 75W-90 SYN 12x1 L CASE,Case,CASE,CASE,0,Active,Assembled,0.000000,$83.415000,$83.415000
CC TRAXON 80W-90 CASE,CC 80W-90 Gear Oil 12x1 L Case,Case,CASE,CASE,0,Active,Assembled,0.000000,$41.415000,$41.415000
CC TUBE W/YORKER CAP,CC TUBE With YORKER RED CAP,Tube,EA,EA,0,Active,Raw Material,592.000000,$0.640000,$0.000000
CC TURBINE OIL-68 TOTE,CC TURBINE OIL-68 TOTE (275 US Gallons),"Gallon, TOTE",TOTE,TOTE,0,Active,Assembled,0.000000,"$2,385.915260",$0.000000
CC TX 2T SS BL12X1L LB-B,CC TX 2T SS BLUE 12X1L LBL-B,N/A,EA,EA,0,Active,Raw Material,294.000000,$0.072600,$0.000000
CC TX 2T SS BL12X1L LB-F,CC TX 2T SS BLUE 12X1L LBL-F,N/A,EA,EA,0,Active,Raw Material,294.000000,$0.072600,$0.000000
CC TX BAR&CHAIN LBL-B,CC TX BAR&CHAIN LBL-BACK,N/A,EA,EA,0,Active,Raw Material,596.000000,$0.072600,$0.000000
CC TX BAR&CHAIN LBL-F,CC TX BAR&CHAIN LBL-FRONT,N/A,EA,EA,0,Active,Raw Material,826.000000,$0.072600,$0.000000
CC TX2- LC DRUM,CC TX2-LC 55 gal DRUM,Drum,DRUM,DRUM,0,Active,Assembled,0.000000,"$1,992.069824",$0.000000
CC TX2-LC FRMULA-1L,CC TX2-LC formulation (1 L),LITRE,LITRE,LITRE,0,Active,Assembled,74.000000,$9.577259,$0.000000
CC UC BLACK FRMULA-1L,CC UNDERCOAT BLACK formulation (1 L),LITRE,LITRE,LITRE,0,Active,Assembled,0.000000,$2.933793,$0.000000
CC UNDERCOAT FRMULA-1L,CC UNDERCOATING formulation (1 L) (Batch is 4270 L),"LITRE, BULK",LITRE,BULK,0,Active,Assembled,0.000000,$3.004820,$2.323330
CC UNDERCOAT-BLACK DRUM,CC UNDERCOAT-BLACK 55 US gal DRUM,Drum,DRUM,DRUM,0,Active,Assembled,4.000000,$654.578944,$483.252640
CC UNDERCOAT-CLEAR DRUM,CC UNDERCOAT-CLEAR 55 US gal DRUM,Drum,DRUM,DRUM,0,Active,Assembled,1.000000,$669.352560,$483.252640
CC VACUUM OIL-100 FRMULA,CC VACUUM OIL-100 formulation (1 L),LITER,LITER,LITER,0,Active,Assembled,71.100000,$2.474614,$0.000000
CC VACUUM OIL-100 PAIL,CC VACUUM OIL-100 PAIL 18.9 L,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$55.090208,$0.000000
CC WAYLUBE-220 PAIL,CC Waylube-220 18.9 L PAIL,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$61.664301,$0.000000
CC WAYLUBE-32 PAIL,CC Waylube-32 18.9 L PAIL,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$45.170733,$0.000000
CC WAYLUBE-68 PAIL,CC Waylube-68 18.9 L PAIL,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$29.876296,$29.876300
CC WET BIKE FRMULA-1L,CC WET BIKE formulation,LITER,LITER,LITER,0,Active,Assembled,30.450000,$4.054776,$0.000000
CC WET LUBE CASE 120,CC WET LUBE CASE 12x120 ml,"Case, CASE12",CASE12,CASE12,0,Active,Assembled,0.000000,$7.339099,$0.000000
CC WROG1 P16,Canoil Wire Rope & Open Gear #1 - 16 kg pail (G-2137-1),"16kg, Pail",Pail,Pail,0,Active,Assembled,0.000000,$137.910000,$0.000000
CC-1L TIN CAN CAPS,CC-1 L (Quart) TIN CAN CAP - RED,BOX,EA,Box,1,Active,Raw Material,0.000000,$0.296070,$0.000000
CC-1L TIN CAN CAPS WHITE,CC-1L TIN CAN CAPS - White,N/A,EA,EA,0,Active,Raw Material,"2,988.000000",$0.266880,$0.000000
CC-1L TIN CANS,CC-1 L (Quart) TIN CAN F Style,PALLET,Each,pallet,1,Active,Raw Material,"1,806.000000",$4.585606,$0.000000
CC-TIN CAN INSERTS,CC-TIN CAN METAL INSERTS,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.053800,$0.000000
CC2282-2R&OGREASE,CC-2282-2 R&O LITHIUM GREASE EP 2,"KG, DRUM",KG,DRUM,1,Active,Raw Material,0.000000,$4.843300,$3.174700
